trail_name,location,distance_miles,elevation_gain_ft,difficulty,drive_time_min,best_start_time,season_window,overnight_town,required_pass,highlight,wta_url,alltrails_url
Cutthroat Lake,North Cascades / Hwy 20,3.8,400,easy/moderate,150,early morning,Jun-Oct,Winthrop,NW Forest Pass,Easiest larch hike in Washington,https://www.wta.org/go-hiking/hikes/cutthroat-lake,
Lake Ingalls,Alpine Lakes / Teanaway,9.0,2500,hard,170,very early,Jul-Oct,Leavenworth,NW Forest Pass,Iconic larch basin with Mt Stuart views,https://www.wta.org/go-hiking/hikes/lake-ingalls,https://www.alltrails.com/trail/us/washington/lake-ingalls
Colchuck Lake,Alpine Lakes / Leavenworth,8.0,2280,moderate/hard,150,very early,Jun-Oct,Leavenworth,NW Forest Pass,Dragontail Peak framed by golden larches,https://www.wta.org/go-hiking/hikes/colchuck-lake,https://www.alltrails.com/trail/us/washington/colchuck-lake-trail
Blue Lake,North Cascades / Hwy 20,4.4,1050,moderate,180,early morning,Jul-Oct,Winthrop,NW Forest Pass,Golden larches reflected in crystal blue water,https://www.wta.org/go-hiking/hikes/blue-lake,
Snow Lake,Snoqualmie Pass,7.2,1800,moderate/hard,50,early morning,Jun-Oct,,NW Forest Pass,Vine maple reds and berry bush fall color,https://www.wta.org/go-hiking/hikes/snow-lake-1,
Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,early morning,year-round,,none,Fall foliage over Cedar River Watershed,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
Wallace Falls,Gold Bar,5.6,1300,moderate,75,early morning,year-round,,Discover Pass,Fall rains bring nine waterfalls to full power,https://www.wta.org/go-hiking/hikes/wallace-falls,
Twin Falls,North Bend,2.4,500,easy/moderate,35,early morning,year-round,,Discover Pass,Moody autumn forest with peak waterfall flow,https://www.wta.org/go-hiking/hikes/twin-falls-state-park,https://www.alltrails.com/trail/us/washington/twin-falls-trail
Snoqualmie Falls,Snoqualmie,1.4,100,easy,40,anytime,year-round,,none,Thundering falls powered by November rain,https://www.wta.org/go-hiking/hikes/snoqualmie-falls,
Coal Creek Falls,Issaquah,2.2,475,moderate,25,early morning,Oct-May,,Discover Pass,Post-rain waterfall in mushroom-rich forest,https://www.wta.org/go-hiking/hikes/coal-creek-falls,
Goat Lake,Mountain Loop Highway,10.4,1400,moderate/hard,75,early morning,May-Nov,,NW Forest Pass,Late fall color along Elliot Creek valley,https://www.wta.org/go-hiking/hikes/goat-lake,https://www.alltrails.com/trail/us/washington/goat-lake-trail
Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,mid morning,year-round,,NW Forest Pass,Winter waterfall through snow-dusted forest,https://www.wta.org/go-hiking/hikes/franklin-falls,
Rattlesnake Lake,North Bend,1.3,32,easy,40,morning,year-round,,none,Winter solstice eve lakeside walk,,https://www.alltrails.com/trail/us/washington/rattlesnake-lake-trail
