trail_name,location,distance_miles,elevation_gain_ft,difficulty,drive_time_min,best_start_time,season_window,overnight_town,required_pass,highlight,wta_url,alltrails_url
Snow Lake,Snoqualmie Pass,7.2,1800,moderate/hard,60,very early,Jun-Oct,,NW Forest Pass,Most popular alpine lake in Washington,https://www.wta.org/go-hiking/hikes/snow-lake-1,https://www.alltrails.com/trail/us/washington/snow-lake-trail
Annette Lake,Snoqualmie Pass,7.5,1800,moderate/hard,60,early morning,Jun-Oct,,NW Forest Pass,Alpine lake with wildflower meadows,https://www.wta.org/go-hiking/hikes/annette-lake,
Naches Peak Loop,Mt Rainier / Chinook Pass,3.5,600,easy,150,early morning,Jul-Oct,Enumclaw,National Park Pass,Alpine loop with Mt Rainier views,https://www.wta.org/go-hiking/hikes/naches-peak,
Melakwa Lake,Snoqualmie Pass,8.5,2700,hard,60,very early,Jul-Oct,,NW Forest Pass,Teal alpine lake past Denny Creek waterslide,https://www.wta.org/go-hiking/hikes/melakwa-lake,
Skyline Trail Loop,Mt Rainier / Paradise,5.5,1600,moderate,150,very early,Jul-Oct,Ashford,National Park Pass,Peak wildflower meadows and glacier views,https://www.wta.org/go-hiking/hikes/skyline-trail,
Yellow Aster Butte,Mt Baker Wilderness,7.5,2550,hard,120,very early,Jul-Oct,Bellingham,NW Forest Pass,360-degree views with lupine and paintbrush meadows,https://www.wta.org/go-hiking/hikes/yellow-aster-butte,
Spray Park,Mt Rainier / Mowich Lake,8.0,1700,moderate/hard,120,early morning,Jul-Oct,Ashford,National Park Pass,Alpine meadow waterfalls on quiet side of Rainier,https://www.wta.org/go-hiking/hikes/spray-park,
Colchuck Lake,Alpine Lakes / Leavenworth,8.0,2280,moderate/hard,150,very early,Jun-Oct,Leavenworth,NW Forest Pass,Gateway to the Enchantments,https://www.wta.org/go-hiking/hikes/colchuck-lake,https://www.alltrails.com/trail/us/washington/colchuck-lake-trail
Lake Ann,Mt Baker Scenic Highway,8.7,2047,hard,135,very early,Jul-Oct,Bellingham,NW Forest Pass,Close-up Mt Shuksan views,https://www.wta.org/go-hiking/hikes/lake-ann,
Blue Lake,North Cascades / Hwy 20,4.4,1050,moderate,150,early morning,Jul-Oct,Winthrop,NW Forest Pass,Turquoise alpine lake under granite peaks,https://www.wta.org/go-hiking/hikes/blue-lake,
Mount Pilchuck,Mountain Loop Highway,5.4,2200,moderate/hard,60,early morning,Jun-Oct,,Discover Pass,Historic fire lookout panorama,https://www.wta.org/go-hiking/hikes/mount-pilchuck,https://www.alltrails.com/trail/us/washington/mount-pilchuck-trail
Glacier Basin,Mt Rainier / Sunrise,7.0,1700,moderate,150,early morning,Jul-Oct,Enumclaw,National Park Pass,Emmons Glacier viewpoint and alpine meadows,https://www.wta.org/go-hiking/hikes/glacier-basin,
West Tiger 3,Issaquah,6.2,2000,moderate,35,early morning,year-round,,Discover Pass,Panoramic Seattle and Rainier views,https://www.wta.org/go-hiking/hikes/west-tiger-3,
Mirror Lake,Snoqualmie Pass,3.0,700,moderate,55,early morning,Jun-Nov,,NW Forest Pass,Quiet alpine lake as summer winds down,https://www.wta.org/go-hiking/hikes/mirror-lake-and-cottonwood-lakes,
