week,date,season,option_type,trail_name,location,distance_miles,elevation_gain_ft,difficulty,drive_time_min,interesting_feature,wta_url,alltrails_url
1,2026-03-21,spring,easy,Green Lake Loop,Seattle,2.8,50,easy,15,Cherry blossoms line the lake in late March - wheelchair accessible paved loop with waterfowl viewing,,https://www.alltrails.com/trail/us/washington/green-lake-loop-trail
1,2026-03-21,spring,moderate,Discovery Park Loop,Seattle,2.8,140,easy/moderate,20,Seattle's largest park with Puget Sound views and Olympic Mountain backdrop - lighthouse trail option,,https://www.alltrails.com/trail/us/washington/discovery-park-loop-trail
1,2026-03-21,spring,hard,Twin Falls,North Bend,2.4,500,easy/moderate,35,Trio of cascades pumping hard with spring runoff through mossy old-growth forest,https://www.wta.org/go-hiking/hikes/twin-falls-state-park,https://www.alltrails.com/trail/us/washington/twin-falls-trail
2,2026-03-28,spring,easy,Snoqualmie Falls,Snoqualmie,1.4,100,easy,40,268-foot iconic waterfall at peak spring flow - paved viewpoints and historic observation deck,https://www.wta.org/go-hiking/hikes/snoqualmie-falls,
2,2026-03-28,spring,moderate,Coal Creek Falls,Issaquah,2.2,475,moderate,25,Hidden 28-foot waterfall on Cougar Mountain that runs dry by summer - excellent mushroom spotting,https://www.wta.org/go-hiking/hikes/coal-creek-falls,
2,2026-03-28,spring,hard,Little Si,North Bend,3.7,1300,moderate,35,Rocky summit bluff with Snoqualmie Valley views - has Boulder Garden Loop option for scrambling,https://www.wta.org/go-hiking/hikes/little-si,https://www.alltrails.com/trail/us/washington/little-si-trail
3,2026-04-04,spring,easy,Gold Creek Pond,Snoqualmie Pass,1.0,100,easy,55,Flat stroller-accessible loop around scenic pond with mountain reflections - perfect for families,,
3,2026-04-04,spring,moderate,Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,Misty 70-foot waterfall through old-growth forest you can feel misting your face,https://www.wta.org/go-hiking/hikes/franklin-falls,
3,2026-04-04,spring,hard,Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,Dramatic cliff-edge ledge overlooking Rattlesnake Lake with Mt. Si and Mt. Washington views,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
4,2026-04-11,spring,easy,Ravenna Park Loop,Seattle,2.0,100,easy,10,Lush urban forest with Ravenna Creek flowing through glacial canyon,,
4,2026-04-11,spring,moderate,Tiger Mountain Tradition Lake,Issaquah,1.5,50,easy,30,Flat forest loop around beautiful lake - excellent fauna viewing and mushroom foraging,,
4,2026-04-11,spring,hard,Poo Poo Point,Issaquah,3.8,1650,moderate,30,Paraglider launch point - watch gliders launch while eating lunch with Seattle and Mt. Rainier views,https://www.wta.org/go-hiking/hikes/poo-poo-point,https://www.alltrails.com/trail/us/washington/chirico-trail-to-poo-poo-point--2
5,2026-04-18,spring,easy,Burke-Gilman Trail,Seattle to Bothell,5.0,50,easy,15,Paved rail-trail along Lake Washington - multiple access points and cafes along the route,,
5,2026-04-18,spring,moderate,Boulder River Trail,Darrington,2.5,200,easy/moderate,90,Gorgeous forest walk along turquoise glacial river - incredibly photogenic,,
5,2026-04-18,spring,hard,Teneriffe Falls,North Bend,5.6,1585,moderate,45,Twenty-two switchbacks to waterfall at full spring volume - final 0.9 miles gains 850 feet,https://www.wta.org/go-hiking/hikes/teneriffe-falls,
6,2026-04-25,spring,easy,Saint Edward Seminary,Kenmore,0.5,50,easy,25,Lake Washington shoreline walk past historic seminary buildings - very accessible,,
6,2026-04-25,spring,moderate,Oxbow Loop Trail,Middle Fork Snoqualmie,2.0,50,easy,50,Family-friendly flat riverside walk through old-growth forest with river views,,
6,2026-04-25,spring,hard,Wallace Falls,Gold Bar,5.6,1300,moderate,60,Nine waterfalls total including spectacular three-tiered 265-foot main cascade at peak flow,https://www.wta.org/go-hiking/hikes/wallace-falls,
7,2026-05-02,spring,easy,Union Bay Natural Area,Seattle,2.0,50,easy,15,Wetlands and woodlands urban nature escape - excellent birdwatching,,
7,2026-05-02,spring,moderate,Ebey's Landing,Whidbey Island,3.0,200,easy/moderate,90,Panoramic Puget Sound views with beach access and historic prairie - wildflower displays,,
7,2026-05-02,spring,hard,Dirty Harry's Balcony,Snoqualmie Pass,4.4,1600,moderate,60,Dramatic cliff-edge overlook with Snoqualmie Valley views - steep but short,,
8,2026-05-09,spring,easy,Mount Catherine,North Bend,3.0,1300,moderate,45,Short but steep summit with panoramic Mt. Rainier views - worth the effort,,
8,2026-05-09,spring,moderate,Talapus Lake,Snoqualmie Pass,4.0,800,moderate,55,Calm subalpine lake through cool forest - good family destination,,
8,2026-05-09,spring,hard,Bandera Mountain,Snoqualmie Pass,8.0,3400,hard,55,Steep inclines to alpine meadows with panoramic Cascade views - serious workout,,https://www.alltrails.com/trail/us/washington/bandera-mountain
9,2026-05-16,spring,easy,Denny Creek Slide,Snoqualmie Pass,2.0,300,easy,60,Natural waterslide for kids - bring swimsuits and towels for splashing fun,,
9,2026-05-16,spring,moderate,Talapus and Olallie Lakes,Snoqualmie Pass,5.8,1223,moderate,55,Two subalpine lakes on one trail - peaceful forest walk,https://www.wta.org/go-hiking/hikes/talapus-and-olallie-lakes,https://www.alltrails.com/trail/us/washington/talapus-and-olallie-lakes-via-olallie-lake-trail--5
9,2026-05-16,spring,hard,Mailbox Peak (new trail),Snoqualmie Pass,11.2,4100,hard,55,Extremely steep - 4000 feet gain - historic mailbox at summit for leaving notes,,https://www.alltrails.com/trail/us/washington/mailbox-peak-trail
10,2026-05-23,spring,easy,Wallace Falls Lower Viewpoint,Gold Bar,2.0,500,easy,60,Short walk to Lower Falls viewpoint - great for families wanting waterfall experience,,
10,2026-05-23,spring,moderate,Denny Creek to Keekwulee Falls,Snoqualmie Pass,4.0,600,moderate,60,125-foot waterfall with natural waterslide section - bring water shoes,https://www.wta.org/go-hiking/hikes/keekwulee-falls,https://www.alltrails.com/trail/us/washington/keekwulee-falls-via-denny-creek-trail
10,2026-05-23,spring,hard,Mount Si,North Bend,8.1,3150,hard,40,Classic Seattle hike with relentless grade - Haystack summit has sweeping Snoqualmie Valley views,https://www.wta.org/go-hiking/hikes/mount-si,https://www.alltrails.com/trail/us/washington/mount-si-trail
11,2026-05-30,spring,easy,Mirror Lake,Snoqualmie Pass,3.0,700,moderate,55,Quiet alpine basin emerging from snow - wildflower fields beginning,https://www.wta.org/go-hiking/hikes/mirror-lake-and-cottonwood-lakes,
11,2026-05-30,spring,moderate,Lake 22,Granite Falls,5.4,1350,moderate,70,First major alpine lake of the season with waterfall views - sitting at base of Mt. Pilchuck,https://www.wta.org/go-hiking/hikes/lake-twenty-two,https://www.alltrails.com/trail/us/washington/lake-22-trail
11,2026-05-30,spring,hard,Granite Mountain,Snoqualmie Pass,8.1,4000,hard,55,Nearly 1000 ft/mile climb to historic fire lookout cabin with Mt. Rainier panoramas,https://www.wta.org/go-hiking/hikes/granite-mountain,
12,2026-06-06,spring,easy,Heather Lake,Granite Falls,4.4,1204,moderate,70,Subalpine lake with skunk cabbage blooms and Mt. Pilchuck backdrop,https://www.wta.org/go-hiking/hikes/heather-lake-1,
12,2026-06-06,spring,moderate,Annette Lake,Snoqualmie Pass,7.5,1800,moderate,60,Alpine lake with wildflower meadows and waterfall along the trail - good swimming,https://www.wta.org/go-hiking/hikes/annette-lake,
